GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
nuevo,default,Characterization,0,29,0,0,0,11,0,6,0,6
nuevo,default,Aliens,0,38,0,0,0,11,0,6,0,6
nuevo,default,Debilidades,0,35,0,0,0,14,0,7,0,7
nuevo,default,Humanos,0,14,0,0,0,3,0,2,0,2
nuevo,default,Armas,9,26,0,0,3,11,3,4,3,4
nuevo,default,Personajes,31,118,0,0,8,46,3,20,3,20
nuevo,default,Personalidad,0,14,0,0,0,5,0,1,0,1
nuevo,default,Habilidades,9,26,0,0,3,11,3,4,3,4
nuevo,default,Poderes,0,35,0,0,0,14,0,7,0,7
nuevo,default,SuperHumanos,0,50,0,0,0,15,0,8,0,8
nuevo,default,Artificiales,0,50,0,0,0,15,0,8,0,8
